bookId,type,pageNum,publisher,dates,title,isbn,language,characters,settings,litAwards,coverUrl
2,Audio,429,Baumbach Inc,"November 15, 1995",ivory District driver,1234567890469,English,"Miss Camden Streich, Letha Lockman","New York, USA",,https://s3.amazonaws.com/uifaces/faces/twitter/r_garcia/128.jpg
3,Audio,364,Lueilwitz and Sons,"April 16, 2007",Handcrafted Plastic Ball Pennsylvania online,1234567890434,Spanish,"Brisa Hand, Winona Nader","New York, USA",,https://s3.amazonaws.com/uifaces/faces/twitter/danro/128.jpg
4,Paperback,401,Rutherford Group,"November 21, 2016",Balboa US Dollar orchid,1234567890460,French,"Quinn Becker, Berta Cassin, Zakary Muller","New York, USA",,https://s3.amazonaws.com/uifaces/faces/twitter/kohette/128.jpg
0,Hardcover,385,Lueilwitz and Sons,"January 12, 1993",Plastic Buckinghamshire,1234567890420,English,Ariane Murray,"New York, USA",,https://s3.amazonaws.com/uifaces/faces/twitter/sangdth/128.jpg
1,Hardcover,409,Baumbach Inc,"May 16, 1988",Direct,1234567890418,French,"Zane Donnelly, Greta Von, Deron Heathcote","New York, USA",Costa Book Awards 2013,https://s3.amazonaws.com/uifaces/faces/twitter/kohette/128.jpg
2,Paperback,410,Rutherford Group,"July 18, 1975",Handmade,1234567890366,English,"Ayla Fay, Lelia Upton, Nia Bergnaum","London, United Kindom","Hugo Award 2014, Edgar Awards 2016",https://s3.amazonaws.com/uifaces/faces/twitter/rahmeen/128.jpg
3,Kindle,421,Baumbach Inc,"March 15, 1970",demand-driven,1234567890458,English,"Thaddeus Larkin, Daniela Wunsch","Moscow, Russia",,https://s3.amazonaws.com/uifaces/faces/twitter/rahmeen/128.jpg
4,Hardcover,396,Swaniawski Inc,"June 21, 1994",generating,1234567890444,English,"Anissa Swift, Kenneth Parker, Sincere Moen","London, United Kindom","Hugo Award 2014, Hugo Award 2014",https://s3.amazonaws.com/uifaces/faces/twitter/sangdth/128.jpg
0,Audio,397,Rutherford Group,"April 12, 1996",model Pizza,1234567890393,English,"Aubree Turcotte, Dianna Muller","Moscow, Russia","Man Booker Prize 2009, Hugo Award 2014",https://s3.amazonaws.com/uifaces/faces/twitter/danro/128.jpg
1,Paperback,373,Swaniawski Inc,"October 16, 1979",initiatives,1234567890449,Italian,Toy DuBuque,"Moscow, Russia","Pulitzer Prize 2012, Man Booker Prize 2009",https://s3.amazonaws.com/uifaces/faces/twitter/rahmeen/128.jpg
2,Paperback,400,Lueilwitz and Sons,"October 15, 2016",Personal Loan Account Bacon,1234567890489,English,"Marlin Auer, Loy Lowe","London, United Kindom",,https://s3.amazonaws.com/uifaces/faces/twitter/r_garcia/128.jpg
3,Hardcover,405,Baumbach Inc,"October 17, 2017",scalable payment black,1234567890415,Italian,"Jess Eichmann, Marcellus Beier, Mrs. Laurie Labadie","London, United Kindom","Edgar Awards 2016, Costa Book Awards 2013",https://s3.amazonaws.com/uifaces/faces/twitter/rahmeen/128.jpg
4,Hardcover,431,Swaniawski Inc,"January 11, 2006",Small Frozen Soap,1234567890441,French,Lila Zieme,"Moscow, Russia","Edgar Awards 2016, Pulitzer Prize 2012",https://s3.amazonaws.com/uifaces/faces/twitter/kohette/128.jpg
0,Hardcover,436,Swaniawski Inc,"July 21, 1994",models,1234567890418,English,"Dr. Fabian Koss, Dulce Romaguera, Abdul Kessler","London, United Kindom","Man Booker Prize 2009, Man Booker Prize 2009",https://s3.amazonaws.com/uifaces/faces/twitter/fronx/128.jpg
1,Hardcover,396,Lueilwitz and Sons,"April 24, 2000",Comoros Granite Palau,1234567890493,English,Alf Veum,"Moscow, Russia",,https://s3.amazonaws.com/uifaces/faces/twitter/dhilipsiva/128.jpg
2,Audio,398,Swaniawski Inc,"March 23, 1972",Wisconsin AGP heuristic,1234567890497,Italian,Jillian Weimann,"Moscow, Russia",,https://s3.amazonaws.com/uifaces/faces/twitter/gavr1l0/128.jpg
3,Paperback,377,Lueilwitz and Sons,"November 11, 1977",Practical Plastic Bike,1234567890474,Spanish,"Kevin Mills, Antwan Simonis, Euna Ernser","New York, USA","Man Booker Prize 2009, Man Booker Prize 2009",https://s3.amazonaws.com/uifaces/faces/twitter/r_garcia/128.jpg
4,Kindle,352,Baumbach Inc,"June 19, 1999",Cotton plug-and-play Refined,1234567890463,French,"Joan Watsica, Phoebe Bashirian","New York, USA",Man Booker Prize 2009,https://s3.amazonaws.com/uifaces/faces/twitter/r_garcia/128.jpg
0,Audio,449,Swaniawski Inc,"May 16, 1986",Missouri calculating,1234567890395,French,"Ramon Spinka, Lucio Kertzmann, Lacey Heidenreich","New York, USA",,https://s3.amazonaws.com/uifaces/faces/twitter/r_garcia/128.jpg
1,Hardcover,402,Rutherford Group,"July 16, 1970",Borders Reduced B2B,1234567890429,English,Breanna Wiza,"New York, USA","Costa Book Awards 2013, Hugo Award 2014",https://s3.amazonaws.com/uifaces/faces/twitter/fronx/128.jpg
2,Paperback,412,Baumbach Inc,"April 15, 1999",GB functionalities,1234567890375,Italian,"Ms. Trudie Wehner, Ezekiel Langosh","New York, USA","Hugo Award 2014, Costa Book Awards 2013",https://s3.amazonaws.com/uifaces/faces/twitter/gavr1l0/128.jpg
3,Audio,375,Lueilwitz and Sons,"July 14, 2004",feed Developer,1234567890453,English,"Karolann Hirthe, Erin Collins IV, Chandler Jacobi","New York, USA","Man Booker Prize 2009, Pulitzer Prize 2012",https://s3.amazonaws.com/uifaces/faces/twitter/fronx/128.jpg
4,Hardcover,437,Rutherford Group,"November 22, 1977",pixel,1234567890438,English,"Raegan Lang, Julie Pfannerstill, Vivienne Homenick","Moscow, Russia","Man Booker Prize 2009, Man Booker Prize 2009",https://s3.amazonaws.com/uifaces/faces/twitter/danro/128.jpg
0,Hardcover,429,Baumbach Inc,"January 20, 1989",capacitor orchid capacity,1234567890449,Italian,"Ara Ferry, Josue Rolfson, Carmella Gerhold","New York, USA",Costa Book Awards 2013,https://s3.amazonaws.com/uifaces/faces/twitter/hafeeskhan/128.jpg
1,Audio,433,Rutherford Group,"March 13, 2012",payment Technician,1234567890372,English,"Bobbie Daugherty, Margarett Murray","New York, USA",,https://s3.amazonaws.com/uifaces/faces/twitter/gavr1l0/128.jpg
2,Hardcover,417,Lueilwitz and Sons,"June 17, 2015",Alabama synthesize Bike,1234567890493,French,Alexandro Fadel Jr.,"Moscow, Russia","Hugo Award 2014, Costa Book Awards 2013",https://s3.amazonaws.com/uifaces/faces/twitter/rahmeen/128.jpg
3,Kindle,377,Baumbach Inc,"June 22, 1977",Kids,1234567890469,Spanish,Ms. Gerry Stokes,"New York, USA",Pulitzer Prize 2012,https://s3.amazonaws.com/uifaces/faces/twitter/dhilipsiva/128.jpg
4,Paperback,398,Baumbach Inc,"November 10, 2005",Checking Account Venezuela syndicate,1234567890459,Italian,"Ahmad Fadel, Miss Felipe Bartoletti, Isobel Keeling","London, United Kindom",Edgar Awards 2016,https://s3.amazonaws.com/uifaces/faces/twitter/rahmeen/128.jpg
0,Paperback,373,Rutherford Group,"May 22, 1986",support payment,1234567890475,French,"Anna Deckow, Ms. Riley Thompson, Cynthia Metz","New York, USA",Pulitzer Prize 2012,https://s3.amazonaws.com/uifaces/faces/twitter/kohette/128.jpg
1,Paperback,447,Rutherford Group,"March 17, 1990",regional,1234567890426,English,"Aidan Ebert, Lucas Barrows, Danielle Homenick","Moscow, Russia",,https://s3.amazonaws.com/uifaces/faces/twitter/gavr1l0/128.jpg
2,Hardcover,355,Swaniawski Inc,"June 19, 2002",Books Fresh,1234567890452,Italian,"Marcelle Weissnat, Dr. Jarrod Mayer, Lonzo Donnelly","New York, USA",Hugo Award 2014,https://s3.amazonaws.com/uifaces/faces/twitter/hafeeskhan/128.jpg
3,Paperback,366,Rutherford Group,"May 13, 1970",Georgia,1234567890423,English,"Alba Barton, Maybell King, Hulda Strosin","Moscow, Russia",Hugo Award 2014,https://s3.amazonaws.com/uifaces/faces/twitter/gavr1l0/128.jpg
4,Hardcover,396,Lueilwitz and Sons,"May 14, 2015",Car Plastic e-business,1234567890435,Italian,Ms. Brando Murphy,"New York, USA",Costa Book Awards 2013,https://s3.amazonaws.com/uifaces/faces/twitter/fronx/128.jpg
